conv spk part sid chno starttime endtime word.id wavfile
AlGore_2006 AG AG 145 NA 97.14 97.83 AlGore_2006.AG.words145 AlGore_2006-light.wav
AlGore_2006 AG AG 146 NA 99.34 99.75 AlGore_2006.AG.words146 AlGore_2006-light.wav
AlGore_2006 AG AG 147 NA 99.75 100.46 AlGore_2006.AG.words147 AlGore_2006-light.wav
AlGore_2006 AG AG 148 NA 103.44 103.63 AlGore_2006.AG.words148 AlGore_2006-light.wav
AlGore_2006 AG AG 149 NA 103.63 103.9 AlGore_2006.AG.words149 AlGore_2006-light.wav
AlGore_2006 AG AG 150 NA 103.9 103.99 AlGore_2006.AG.words150 AlGore_2006-light.wav
AlGore_2006 AG AG 151 NA 103.99 104.27 AlGore_2006.AG.words151 AlGore_2006-light.wav
AlGore_2006 AG AG 152 NA 104.27 104.42 AlGore_2006.AG.words152 AlGore_2006-light.wav
AlGore_2006 AG AG 153 NA 104.42 104.49 AlGore_2006.AG.words153 AlGore_2006-light.wav
AlGore_2006 AG AG 154 NA 104.49 104.71 AlGore_2006.AG.words154 AlGore_2006-light.wav
AlGore_2006 AG AG 155 NA 104.71 105.01 AlGore_2006.AG.words155 AlGore_2006-light.wav
AlGore_2006 AG AG 156 NA 105.01 105.17 AlGore_2006.AG.words156 AlGore_2006-light.wav
AlGore_2006 AG AG 157 NA 105.17 105.46 AlGore_2006.AG.words157 AlGore_2006-light.wav
AlGore_2006 AG AG 158 NA 105.49 105.72 AlGore_2006.AG.words158 AlGore_2006-light.wav
AlGore_2006 AG AG 159 NA 111.68 112.1 AlGore_2006.AG.words159 AlGore_2006-light.wav
AlGore_2006 AG AG 160 NA 113.95 114.29 AlGore_2006.AG.words160 AlGore_2006-light.wav
AlGore_2006 AG AG 161 NA 114.29 114.46 AlGore_2006.AG.words161 AlGore_2006-light.wav
AlGore_2006 AG AG 162 NA 114.46 114.63 AlGore_2006.AG.words162 AlGore_2006-light.wav
AlGore_2006 AG AG 163 NA 114.66 115.04 AlGore_2006.AG.words163.1 AlGore_2006-light.wav
AlGore_2006 AG AG 164 NA 115.04 115.24 AlGore_2006.AG.words163.2 AlGore_2006-light.wav
AlGore_2006 AG AG 165 NA 115.24 115.8 AlGore_2006.AG.words164 AlGore_2006-light.wav
AlGore_2006 AG AG 166 NA 115.8 116.21 AlGore_2006.AG.words165 AlGore_2006-light.wav
AlGore_2006 AG AG 167 NA 117.33 118.53 AlGore_2006.AG.words166 AlGore_2006-light.wav
AlGore_2006 AG AG 168 NA 118.53 118.63 AlGore_2006.AG.words167 AlGore_2006-light.wav
AlGore_2006 AG AG 169 NA 118.63 118.69 AlGore_2006.AG.words168 AlGore_2006-light.wav
AlGore_2006 AG AG 170 NA 118.69 119.11 AlGore_2006.AG.words169 AlGore_2006-light.wav
AlGore_2006 AG AG 171 NA 119.23 119.38 AlGore_2006.AG.words170 AlGore_2006-light.wav
AlGore_2006 AG AG 172 NA 119.38 119.65 AlGore_2006.AG.words171 AlGore_2006-light.wav
AlGore_2006 AG AG 173 NA 119.65 119.92 AlGore_2006.AG.words172 AlGore_2006-light.wav
AlGore_2006 AG AG 174 NA 119.92 120.24 AlGore_2006.AG.words173 AlGore_2006-light.wav
AlGore_2006 AG AG 175 NA 120.41 120.57 AlGore_2006.AG.words174 AlGore_2006-light.wav
AlGore_2006 AG AG 176 NA 120.57 120.72 AlGore_2006.AG.words175 AlGore_2006-light.wav
AlGore_2006 AG AG 177 NA 120.72 120.89 AlGore_2006.AG.words176 AlGore_2006-light.wav
AlGore_2006 AG AG 178 NA 120.89 121.49 AlGore_2006.AG.words177 AlGore_2006-light.wav
AlGore_2006 AG AG 179 NA 121.49 121.76 AlGore_2006.AG.words178 AlGore_2006-light.wav
AlGore_2006 AG AG 180 NA 121.76 122.04 AlGore_2006.AG.words179 AlGore_2006-light.wav
AlGore_2006 AG AG 181 NA 124.94 125.08 AlGore_2006.AG.words180 AlGore_2006-light.wav
AlGore_2006 AG AG 182 NA 125.08 125.25 AlGore_2006.AG.words181 AlGore_2006-light.wav
AlGore_2006 AG AG 183 NA 125.25 125.38 AlGore_2006.AG.words182 AlGore_2006-light.wav
AlGore_2006 AG AG 184 NA 125.38 125.87 AlGore_2006.AG.words183 AlGore_2006-light.wav
AlGore_2006 AG AG 185 NA 125.87 126.15 AlGore_2006.AG.words184 AlGore_2006-light.wav
AlGore_2006 AG AG 186 NA 126.15 126.61 AlGore_2006.AG.words185 AlGore_2006-light.wav
AlGore_2006 AG AG 187 NA 133.96 134.14 AlGore_2006.AG.words186 AlGore_2006-light.wav
AlGore_2006 AG AG 188 NA 134.14 134.31 AlGore_2006.AG.words187 AlGore_2006-light.wav
AlGore_2006 AG AG 189 NA 134.31 134.5 AlGore_2006.AG.words188 AlGore_2006-light.wav
AlGore_2006 AG AG 190 NA 134.5 134.92 AlGore_2006.AG.words189 AlGore_2006-light.wav
AlGore_2006 AG AG 191 NA 134.92 135.34 AlGore_2006.AG.words190 AlGore_2006-light.wav
AlGore_2006 AG AG 192 NA 135.34 135.93 AlGore_2006.AG.words191 AlGore_2006-light.wav
AlGore_2006 AG AG 193 NA 138.8 139.05 AlGore_2006.AG.words192 AlGore_2006-light.wav
AlGore_2006 AG AG 194 NA 139.05 139.31 AlGore_2006.AG.words193 AlGore_2006-light.wav
AlGore_2006 AG AG 195 NA 139.31 140.02 AlGore_2006.AG.words194 AlGore_2006-light.wav
AlGore_2006 AG AG 196 NA 140.54 141.27 AlGore_2006.AG.words195 AlGore_2006-light.wav
AlGore_2006 AG AG 197 NA 141.73 141.92 AlGore_2006.AG.words196 AlGore_2006-light.wav
AlGore_2006 AG AG 198 NA 141.92 142.2 AlGore_2006.AG.words197 AlGore_2006-light.wav
AlGore_2006 AG AG 199 NA 142.2 142.43 AlGore_2006.AG.words198 AlGore_2006-light.wav
AlGore_2006 AG AG 200 NA 142.43 142.52 AlGore_2006.AG.words199 AlGore_2006-light.wav
AlGore_2006 AG AG 201 NA 142.52 142.58 AlGore_2006.AG.words200 AlGore_2006-light.wav
AlGore_2006 AG AG 202 NA 142.58 142.85 AlGore_2006.AG.words201 AlGore_2006-light.wav
AlGore_2006 AG AG 203 NA 142.85 142.96 AlGore_2006.AG.words202 AlGore_2006-light.wav
AlGore_2006 AG AG 204 NA 142.96 143.29 AlGore_2006.AG.words203 AlGore_2006-light.wav
AlGore_2006 AG AG 205 NA 144 144.06 AlGore_2006.AG.words204 AlGore_2006-light.wav
AlGore_2006 AG AG 206 NA 144.27 144.47 AlGore_2006.AG.words205 AlGore_2006-light.wav
AlGore_2006 AG AG 207 NA 144.47 144.61 AlGore_2006.AG.words206 AlGore_2006-light.wav
AlGore_2006 AG AG 208 NA 144.61 144.76 AlGore_2006.AG.words207.1 AlGore_2006-light.wav
AlGore_2006 AG AG 209 NA 144.76 145.21 AlGore_2006.AG.words207.2 AlGore_2006-light.wav
AlGore_2006 AG AG 210 NA 145.21 145.34 AlGore_2006.AG.words208 AlGore_2006-light.wav
AlGore_2006 AG AG 211 NA 145.34 145.6 AlGore_2006.AG.words209 AlGore_2006-light.wav
AlGore_2006 AG AG 212 NA 145.6 145.87 AlGore_2006.AG.words210 AlGore_2006-light.wav
AlGore_2006 AG AG 213 NA 146.39 146.78 AlGore_2006.AG.words211 AlGore_2006-light.wav
AlGore_2006 AG AG 214 NA 146.78 146.96 AlGore_2006.AG.words212.1 AlGore_2006-light.wav
AlGore_2006 AG AG 217 NA 146.96 147.3 AlGore_2006.AG.words212.4 AlGore_2006-light.wav
AlGore_2006 AG AG 218 NA 147.3 147.58 AlGore_2006.AG.words212.5 AlGore_2006-light.wav
AlGore_2006 AG AG 219 NA 147.73 148.24 AlGore_2006.AG.words213 AlGore_2006-light.wav
AlGore_2006 AG AG 220 NA 148.24 148.53 AlGore_2006.AG.words214 AlGore_2006-light.wav
AlGore_2006 AG AG 221 NA 148.53 148.62 AlGore_2006.AG.words215 AlGore_2006-light.wav
AlGore_2006 AG AG 222 NA 148.62 148.75 AlGore_2006.AG.words216 AlGore_2006-light.wav
AlGore_2006 AG AG 223 NA 148.75 148.87 AlGore_2006.AG.words217 AlGore_2006-light.wav
AlGore_2006 AG AG 224 NA 148.87 149.02 AlGore_2006.AG.words218 AlGore_2006-light.wav
AlGore_2006 AG AG 225 NA 149.02 149.26 AlGore_2006.AG.words219 AlGore_2006-light.wav
AlGore_2006 AG AG 226 NA 149.55 149.79 AlGore_2006.AG.words220 AlGore_2006-light.wav
AlGore_2006 AG AG 227 NA 149.79 150.03 AlGore_2006.AG.words221 AlGore_2006-light.wav
AlGore_2006 AG AG 228 NA 150.03 150.1 AlGore_2006.AG.words222 AlGore_2006-light.wav
AlGore_2006 AG AG 229 NA 150.1 150.7 AlGore_2006.AG.words223 AlGore_2006-light.wav
AlGore_2006 AG AG 230 NA 150.7 151.23 AlGore_2006.AG.words224 AlGore_2006-light.wav
AlGore_2006 AG AG 231 NA 152.28 152.48 AlGore_2006.AG.words225.1 AlGore_2006-light.wav
AlGore_2006 AG AG 232 NA 152.48 153.07 AlGore_2006.AG.words225.2 AlGore_2006-light.wav
AlGore_2006 AG AG 233 NA 153.1 153.64 AlGore_2006.AG.words226 AlGore_2006-light.wav
AlGore_2006 AG AG 234 NA 153.8 154.36 AlGore_2006.AG.words227 AlGore_2006-light.wav
AlGore_2006 AG AG 235 NA 154.66 155.15 AlGore_2006.AG.words228 AlGore_2006-light.wav
AlGore_2006 AG AG 236 NA 155.15 155.26 AlGore_2006.AG.words229 AlGore_2006-light.wav
AlGore_2006 AG AG 237 NA 155.26 155.45 AlGore_2006.AG.words230 AlGore_2006-light.wav
AlGore_2006 AG AG 238 NA 155.45 155.51 AlGore_2006.AG.words231 AlGore_2006-light.wav
AlGore_2006 AG AG 239 NA 155.51 155.57 AlGore_2006.AG.words232 AlGore_2006-light.wav
AlGore_2006 AG AG 241 NA 155.57 155.76 AlGore_2006.AG.words234 AlGore_2006-light.wav
AlGore_2006 AG AG 242 NA 155.76 155.95 AlGore_2006.AG.words235 AlGore_2006-light.wav
AlGore_2006 AG AG 243 NA 155.95 156.06 AlGore_2006.AG.words236 AlGore_2006-light.wav
AlGore_2006 AG AG 244 NA 157.23 157.52 AlGore_2006.AG.words237 AlGore_2006-light.wav
AlGore_2006 AG AG 245 NA 157.86 158.1 AlGore_2006.AG.words238 AlGore_2006-light.wav
AlGore_2006 AG AG 246 NA 158.1 158.21 AlGore_2006.AG.words239 AlGore_2006-light.wav
AlGore_2006 AG AG 247 NA 158.21 158.29 AlGore_2006.AG.words240 AlGore_2006-light.wav
AlGore_2006 AG AG 248 NA 158.29 158.52 AlGore_2006.AG.words241 AlGore_2006-light.wav
AlGore_2006 AG AG 249 NA 158.52 158.75 AlGore_2006.AG.words242 AlGore_2006-light.wav
AlGore_2006 AG AG 250 NA 158.75 158.83 AlGore_2006.AG.words243 AlGore_2006-light.wav
AlGore_2006 AG AG 251 NA 158.83 158.94 AlGore_2006.AG.words244 AlGore_2006-light.wav
AlGore_2006 AG AG 252 NA 158.94 159.37 AlGore_2006.AG.words245 AlGore_2006-light.wav
AlGore_2006 AG AG 253 NA 159.37 159.48 AlGore_2006.AG.words246 AlGore_2006-light.wav
AlGore_2006 AG AG 254 NA 159.48 159.59 AlGore_2006.AG.words247 AlGore_2006-light.wav
AlGore_2006 AG AG 255 NA 160.2 160.55 AlGore_2006.AG.words248 AlGore_2006-light.wav
AlGore_2006 AG AG 256 NA 160.55 160.83 AlGore_2006.AG.words249 AlGore_2006-light.wav
AlGore_2006 AG AG 257 NA 160.83 161.36 AlGore_2006.AG.words250 AlGore_2006-light.wav
AlGore_2006 AG AG 258 NA 161.72 161.91 AlGore_2006.AG.words251 AlGore_2006-light.wav
AlGore_2006 AG AG 259 NA 161.91 161.96 AlGore_2006.AG.words252 AlGore_2006-light.wav
AlGore_2006 AG AG 260 NA 161.96 162.23 AlGore_2006.AG.words253 AlGore_2006-light.wav
AlGore_2006 AG AG 261 NA 162.28 162.81 AlGore_2006.AG.words254 AlGore_2006-light.wav
AlGore_2006 AG AG 262 NA 162.81 163.06 AlGore_2006.AG.words255 AlGore_2006-light.wav
AlGore_2006 AG AG 263 NA 163.06 163.48 AlGore_2006.AG.words256 AlGore_2006-light.wav
AlGore_2006 AG AG 264 NA 166.13 166.31 AlGore_2006.AG.words257 AlGore_2006-light.wav
AlGore_2006 AG AG 265 NA 166.31 166.55 AlGore_2006.AG.words258 AlGore_2006-light.wav
AlGore_2006 AG AG 266 NA 166.55 166.78 AlGore_2006.AG.words259 AlGore_2006-light.wav
AlGore_2006 AG AG 267 NA 166.78 167.14 AlGore_2006.AG.words260 AlGore_2006-light.wav
