conv spk part sid chno starttime endtime seg.id wavfile
AlGore_2006 AG AG 105 NA 414.36 418.18 AlGore_2006.AG.p.51.seg.130 AlGore_2006-light.wav
AlGore_2006 AG AG 106 NA 419.09 419.65 AlGore_2006.AG.p.51.seg.131 AlGore_2006-light.wav
AlGore_2006 AG AG 107 NA 421.12 423.87 AlGore_2006.AG.p.51.seg.132 AlGore_2006-light.wav
AlGore_2006 AG AG 108 NA 423.87 427 AlGore_2006.AG.p.51.seg.133 AlGore_2006-light.wav
AlGore_2006 AG AG 109 NA 427.19 428.95 AlGore_2006.AG.p.51.seg.134 AlGore_2006-light.wav
AlGore_2006 AG AG 110 NA 429.95 432.87 AlGore_2006.AG.p.51.seg.135 AlGore_2006-light.wav
AlGore_2006 AG AG 111 NA 432.87 434.93 AlGore_2006.AG.p.51.seg.136 AlGore_2006-light.wav
AlGore_2006 AG AG 112 NA 435.09 436.36 AlGore_2006.AG.p.51.seg.137 AlGore_2006-light.wav
AlGore_2006 AG AG 113 NA 436.95 442.3 AlGore_2006.AG.p.51.seg.138 AlGore_2006-light.wav
AlGore_2006 AG AG 114 NA 442.34 443.76 AlGore_2006.AG.p.51.seg.139 AlGore_2006-light.wav
AlGore_2006 AG AG 115 NA 443.79 448.26 AlGore_2006.AG.p.51.seg.140 AlGore_2006-light.wav
AlGore_2006 AG AG 116 NA 448.47 450.7 AlGore_2006.AG.p.51.seg.141 AlGore_2006-light.wav
AlGore_2006 AG AG 117 NA 451.2 453.19 AlGore_2006.AG.p.51.seg.142 AlGore_2006-light.wav
AlGore_2006 AG AG 118 NA 453.42 456 AlGore_2006.AG.p.51.seg.143 AlGore_2006-light.wav
AlGore_2006 AG AG 119 NA 456.2 459.79 AlGore_2006.AG.p.51.seg.144 AlGore_2006-light.wav
AlGore_2006 AG AG 120 NA 461.02 464.69 AlGore_2006.AG.p.52.seg.145 AlGore_2006-light.wav
AlGore_2006 AG AG 121 NA 464.99 467.31 AlGore_2006.AG.p.52.seg.146 AlGore_2006-light.wav
AlGore_2006 AG AG 122 NA 468.27 472.63 AlGore_2006.AG.p.52.seg.147 AlGore_2006-light.wav
AlGore_2006 AG AG 123 NA 472.87 473.99 AlGore_2006.AG.p.52.seg.148 AlGore_2006-light.wav
AlGore_2006 AG AG 124 NA 474.19 478.9 AlGore_2006.AG.p.52.seg.149 AlGore_2006-light.wav
